case_id,region_id,lead_time_hours,valid_start_time,valid_end_time,impact_start_time,impact_end_time,risk_level,forecast_spatial_p95_mm,observed_spatial_p95_mm,medium_threshold_mm,forecast_maximum_mm,observed_maximum_mm,high_threshold_mm,observed_p95_crosses_medium,forecast_p95_crosses_medium,observed_max_crosses_high,primary_attribution,secondary_attribution,attribution_confidence,explanation
20200501_00,SA-09,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,2020-05-01T00:00:00Z,2020-05-02T23:59:59Z,low,1.51291,6.115,5.0,1.6054287,24.2,10.0,True,False,True,weather_model_error,,high,Accepted IMERG spatial-P95 crossed the frozen medium threshold while GraphCast spatial-P95 remained below it.
20200501_00,SA-09,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,2020-05-01T00:00:00Z,2020-05-02T23:59:59Z,low,2.8983252,3.89,5.0,3.231235,12.4,10.0,False,False,True,risk_rule_error,weather_model_error,medium,Observed regional P95 remained below the rule threshold despite a localized maximum above the high threshold; GraphCast also underestimated that maximum.
