region_id,date,element,station_count,minimum,maximum
SA-01,20200628,TMAX,2,44.0,45.5
SA-01,20200628,TMIN,1,25.9,25.9
SA-01,20200629,TMAX,2,44.0,46.2
SA-01,20200629,TMIN,2,25.8,28.0
SA-01,20200630,TMAX,2,46.0,46.0
SA-01,20200630,TMIN,2,27.0,27.7
SA-01,20200701,TMAX,2,46.0,46.4
SA-01,20200701,TMIN,2,27.0,27.1
SA-01,20200702,TMAX,1,45.0,45.0
SA-01,20200702,TMIN,2,29.0,30.4
SA-01,20200703,TMAX,1,44.0,44.0
SA-01,20200703,TMIN,2,28.4,29.0
SA-01,20200704,TMAX,2,44.0,46.3
SA-01,20200704,TMIN,1,27.6,27.6
SA-01,20200705,TMAX,2,45.0,46.8
SA-01,20200705,TMIN,2,28.0,28.0
SA-01,20200706,TMAX,2,45.0,47.0
SA-01,20200706,TMIN,1,28.0,28.0
SA-01,20200707,TMAX,2,45.0,48.4
SA-01,20200707,TMIN,2,28.0,29.7
SA-01,20200708,TMAX,1,46.0,46.0
SA-01,20200708,TMIN,2,29.0,29.0
SA-01,20200709,TMAX,2,45.3,47.0
SA-01,20200709,TMIN,1,30.0,30.0
SA-01,20200710,TMAX,2,44.0,46.0
SA-01,20200710,TMIN,2,28.5,29.0
SA-01,20200711,TMAX,1,46.0,46.0
SA-01,20200711,TMIN,2,28.6,31.0
SA-01,20200712,TMAX,2,45.7,46.0
SA-01,20200712,TMIN,2,28.3,30.0
SA-01,20200713,TMAX,2,44.0,45.5
SA-01,20200713,TMIN,2,28.0,30.2
SA-01,20200714,TMAX,2,44.0,45.6
SA-01,20200714,TMIN,2,28.0,33.0
SA-01,20200715,TMAX,2,45.0,47.5
SA-01,20200715,TMIN,2,29.0,30.0
SA-01,20200716,TMAX,2,45.0,45.4
SA-01,20200716,TMIN,2,31.8,34.0
SA-01,20200717,TMAX,2,44.0,45.0
SA-01,20200717,TMIN,2,29.5,33.0
SA-01,20200718,TMAX,2,44.0,45.0
SA-01,20200718,TMIN,1,29.2,29.2
SA-01,20200719,TMAX,2,44.5,45.0
SA-01,20200719,TMIN,2,27.7,28.0
SA-01,20200720,TMAX,2,45.0,46.9
SA-01,20200720,TMIN,2,28.0,30.9
SA-01,20200721,TMAX,2,46.0,46.1
SA-01,20200721,TMIN,2,30.0,34.0
SA-01,20200722,TMAX,2,46.0,46.8
SA-01,20200722,TMIN,2,30.3,31.0
SA-01,20200723,TMAX,2,44.0,45.4
SA-01,20200723,TMIN,2,29.0,30.5
SA-01,20200724,TMAX,2,42.0,43.0
SA-01,20200724,TMIN,2,32.2,33.0
SA-01,20200725,TMAX,2,43.0,44.0
SA-01,20200725,TMIN,1,30.0,30.0
SA-01,20200726,TMAX,1,42.0,42.0
SA-01,20200726,TMIN,2,30.0,32.5
SA-01,20200727,TMAX,2,42.0,45.3
SA-01,20200727,TMIN,2,29.0,29.6
SA-01,20200728,TMAX,2,42.0,47.4
SA-01,20200728,TMIN,2,29.5,32.0
SA-01,20200729,TMAX,2,42.0,47.5
SA-01,20200729,TMIN,2,31.0,33.0
SA-01,20200730,TMAX,2,43.0,48.0
SA-01,20200730,TMIN,2,30.0,30.8
SA-01,20200731,TMAX,2,44.0,48.2
SA-01,20200731,TMIN,2,29.0,32.0
SA-01,20200801,TMAX,2,44.0,48.0
SA-01,20200801,TMIN,2,29.0,31.0
SA-01,20200802,TMAX,1,48.8,48.8
SA-01,20200802,TMIN,2,32.0,34.0
SA-01,20200803,TMAX,1,47.3,47.3
SA-01,20200803,TMIN,2,29.8,32.0
SA-01,20200804,TMAX,2,45.0,47.1
SA-01,20200804,TMIN,2,28.0,34.0
SA-01,20200805,TMAX,2,43.0,43.7
SA-01,20200805,TMIN,2,29.0,31.0
SA-01,20200806,TMAX,2,43.5,44.0
SA-01,20200806,TMIN,2,28.7,30.0
SA-01,20200807,TMAX,1,43.0,43.0
SA-01,20200807,TMIN,2,29.4,30.0
SA-01,20200808,TMAX,2,43.0,44.2
SA-01,20200808,TMIN,2,28.7,29.0
