hazard,rule_id,rule_status,event_cases,control_cases,event_target_windows,candidate_hits,target_window_recall,control_target_windows,candidate_correct_negatives,target_window_specificity,event_case_detection_fraction,control_case_rejection_fraction,observation_qc_statuses,freeze_recommendation,blocking_reasons
heavy_rain,heavy_rain_graphcast_scale_v2,frozen,3,2,5,3,0.6,4,4,1,0.666667,1,accepted,eligible_to_freeze,
heatwave,heatwave_candidate_graphcast_scale_v2,draft,4,2,7,1,0.142857,4,4,1,0.25,1,accepted,blocked,target_window_recall_below_gate;event_case_detection_below_gate
