date,filename,bytes,sha256,local_path,source_url,product,version,license_or_terms
2020-05-01,3B-DAY-GIS.MS.MRG.3IMERG.20200501-S000000-E235959.3630.V07B.zip,11907696,b90a6c7cee87aed5d2d579660e83fbbd1ef2af0a688bcf487822438b7571ac85,data/external/imerg_final_v07b/2020/05/01/3B-DAY-GIS.MS.MRG.3IMERG.20200501-S000000-E235959.3630.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/01/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200501-S000000-E235959.3630.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-02,3B-DAY-GIS.MS.MRG.3IMERG.20200502-S000000-E235959.3660.V07B.zip,11634879,1932215a73cc7ab5beb4b24cb840dbc3319075d577c2e6f7f55d3805c11e0201,data/external/imerg_final_v07b/2020/05/02/3B-DAY-GIS.MS.MRG.3IMERG.20200502-S000000-E235959.3660.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/02/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200502-S000000-E235959.3660.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-03,3B-DAY-GIS.MS.MRG.3IMERG.20200503-S000000-E235959.3690.V07B.zip,11858302,7b3f702c4af44ab6bb7d958c4cdf3e5acf2c2395a93712f8fe3e857b7dc85985,data/external/imerg_final_v07b/2020/05/03/3B-DAY-GIS.MS.MRG.3IMERG.20200503-S000000-E235959.3690.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/03/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200503-S000000-E235959.3690.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-05,3B-DAY-GIS.MS.MRG.3IMERG.20200505-S000000-E235959.3750.V07B.zip,11918593,0a969d38a6290b17e74a75b69bcc15435458d77ad629eedaadce5024566d9e95,data/external/imerg_final_v07b/2020/05/05/3B-DAY-GIS.MS.MRG.3IMERG.20200505-S000000-E235959.3750.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/05/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200505-S000000-E235959.3750.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-06,3B-DAY-GIS.MS.MRG.3IMERG.20200506-S000000-E235959.3780.V07B.zip,12053600,42eeeb2e636fc74116fa31224fb0b2560168a30ca11ac9b20db0bedcdcd4e3e4,data/external/imerg_final_v07b/2020/05/06/3B-DAY-GIS.MS.MRG.3IMERG.20200506-S000000-E235959.3780.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/06/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200506-S000000-E235959.3780.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-07,3B-DAY-GIS.MS.MRG.3IMERG.20200507-S000000-E235959.3810.V07B.zip,12239390,26aaf13b45ac1c7630b427317c4c807880dac0f7e15bc532f118b5bfc9867bcf,data/external/imerg_final_v07b/2020/05/07/3B-DAY-GIS.MS.MRG.3IMERG.20200507-S000000-E235959.3810.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/07/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200507-S000000-E235959.3810.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-15,3B-DAY-GIS.MS.MRG.3IMERG.20200515-S000000-E235959.4050.V07B.zip,12627603,406fadc2da55791fdc7ba76e07e02eb58f414720046ef15508bd6cc879862cf3,data/external/imerg_final_v07b/2020/05/15/3B-DAY-GIS.MS.MRG.3IMERG.20200515-S000000-E235959.4050.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/15/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200515-S000000-E235959.4050.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-16,3B-DAY-GIS.MS.MRG.3IMERG.20200516-S000000-E235959.4080.V07B.zip,12242306,91ab71be8deac0b19fedbf439ca4c7d65ba65d867cd37eaad00b1b0f0d24e0bf,data/external/imerg_final_v07b/2020/05/16/3B-DAY-GIS.MS.MRG.3IMERG.20200516-S000000-E235959.4080.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/16/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200516-S000000-E235959.4080.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-17,3B-DAY-GIS.MS.MRG.3IMERG.20200517-S000000-E235959.4110.V07B.zip,12276953,ccba3182c7243123d8670bce9d2faf21b3898f6104188ddc93cfa5c60ad68cf2,data/external/imerg_final_v07b/2020/05/17/3B-DAY-GIS.MS.MRG.3IMERG.20200517-S000000-E235959.4110.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/17/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200517-S000000-E235959.4110.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-05-18,3B-DAY-GIS.MS.MRG.3IMERG.20200518-S000000-E235959.4140.V07B.zip,12553550,e0d3af8296ac69f63eb35babce5f9aef671b7ec2ff13b8cbbdaf1c19a1c194e0,data/external/imerg_final_v07b/2020/05/18/3B-DAY-GIS.MS.MRG.3IMERG.20200518-S000000-E235959.4140.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/05/18/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200518-S000000-E235959.4140.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-11,3B-DAY-GIS.MS.MRG.3IMERG.20200711-S000000-E235959.5760.V07B.zip,13053774,0a0469b2fb762138690ccd382093365a16f3a308a01c4a897a1b940c83a635a4,data/external/imerg_final_v07b/2020/07/11/3B-DAY-GIS.MS.MRG.3IMERG.20200711-S000000-E235959.5760.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/11/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200711-S000000-E235959.5760.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-12,3B-DAY-GIS.MS.MRG.3IMERG.20200712-S000000-E235959.5790.V07B.zip,12900313,4492265f3993f6be47a57d78e93adcc950d49cf1907dc40eae49e56dc231a62a,data/external/imerg_final_v07b/2020/07/12/3B-DAY-GIS.MS.MRG.3IMERG.20200712-S000000-E235959.5790.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/12/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200712-S000000-E235959.5790.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-13,3B-DAY-GIS.MS.MRG.3IMERG.20200713-S000000-E235959.5820.V07B.zip,12628873,586d035489278b578285c27dccbfe25c3d099c2429b5b03bc786189ca652b037,data/external/imerg_final_v07b/2020/07/13/3B-DAY-GIS.MS.MRG.3IMERG.20200713-S000000-E235959.5820.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/13/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200713-S000000-E235959.5820.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-14,3B-DAY-GIS.MS.MRG.3IMERG.20200714-S000000-E235959.5850.V07B.zip,12426667,f106e07df420202be74687ed1215d4304cdb2236d06c4b3fe5e0fb3a9644d5bb,data/external/imerg_final_v07b/2020/07/14/3B-DAY-GIS.MS.MRG.3IMERG.20200714-S000000-E235959.5850.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/14/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200714-S000000-E235959.5850.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-25,3B-DAY-GIS.MS.MRG.3IMERG.20200725-S000000-E235959.6180.V07B.zip,12853005,929bf88d9218f300aa312f6692f24e2b4d15e4b7501998b9f205346763f19a61,data/external/imerg_final_v07b/2020/07/25/3B-DAY-GIS.MS.MRG.3IMERG.20200725-S000000-E235959.6180.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/25/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200725-S000000-E235959.6180.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-26,3B-DAY-GIS.MS.MRG.3IMERG.20200726-S000000-E235959.6210.V07B.zip,12630622,9fd1740ff18400bee6cb163a42594ff18c464d6cf8e99e5948f30f8c4407e21d,data/external/imerg_final_v07b/2020/07/26/3B-DAY-GIS.MS.MRG.3IMERG.20200726-S000000-E235959.6210.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/26/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200726-S000000-E235959.6210.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-27,3B-DAY-GIS.MS.MRG.3IMERG.20200727-S000000-E235959.6240.V07B.zip,12260663,46f4d9e5de26936502de96bf4af591689f061844dab4aad6c1c123f3cacbbc26,data/external/imerg_final_v07b/2020/07/27/3B-DAY-GIS.MS.MRG.3IMERG.20200727-S000000-E235959.6240.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/27/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200727-S000000-E235959.6240.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-28,3B-DAY-GIS.MS.MRG.3IMERG.20200728-S000000-E235959.6270.V07B.zip,12277644,f45911e49777dcd56619cb5dd29d475a1bd25373a5661458c64d669261ff840b,data/external/imerg_final_v07b/2020/07/28/3B-DAY-GIS.MS.MRG.3IMERG.20200728-S000000-E235959.6270.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/28/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200728-S000000-E235959.6270.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
2020-07-29,3B-DAY-GIS.MS.MRG.3IMERG.20200729-S000000-E235959.6300.V07B.zip,12429712,a2a41cf066b81e476f166f208f2a59dbecc4953771c2aed0bc7b80589b55c14f,data/external/imerg_final_v07b/2020/07/29/3B-DAY-GIS.MS.MRG.3IMERG.20200729-S000000-E235959.6300.V07B.zip,https://arthurhouhttps.pps.eosdis.nasa.gov/gpmdata/2020/07/29/gis/3B-DAY-GIS.MS.MRG.3IMERG.20200729-S000000-E235959.6300.V07B.zip,IMERG Final Run daily GIS accumulation,V07B,NASA GPM/PPS data policy applies
