case_id,initial_time,event_type,status,lead024_file,lead048_file,lead072_file,message,updated_at_utc
20200619_00,2020-06-19T00:00:00Z,heatwave_control,skipped,handoff/mazu_like/mazu_like_20200619_00_lead024.nc,handoff/mazu_like/mazu_like_20200619_00_lead048.nc,handoff/mazu_like/mazu_like_20200619_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:12.185170Z
20200908_00,2020-09-08T00:00:00Z,heatwave_event,completed,handoff/mazu_like/mazu_like_20200908_00_lead024.nc,handoff/mazu_like/mazu_like_20200908_00_lead048.nc,handoff/mazu_like/mazu_like_20200908_00_lead072.nc,"generated and validated lead024,lead048,lead072",2026-07-17T05:40:12.578946Z
20200806_00,2020-08-06T00:00:00Z,heatwave_event,completed,handoff/mazu_like/mazu_like_20200806_00_lead024.nc,handoff/mazu_like/mazu_like_20200806_00_lead048.nc,handoff/mazu_like/mazu_like_20200806_00_lead072.nc,"generated and validated lead024,lead048,lead072",2026-07-17T05:40:12.810271Z
20200927_00,2020-09-27T00:00:00Z,heatwave_control,completed,handoff/mazu_like/mazu_like_20200927_00_lead024.nc,handoff/mazu_like/mazu_like_20200927_00_lead048.nc,handoff/mazu_like/mazu_like_20200927_00_lead072.nc,"generated and validated lead024,lead048,lead072",2026-07-17T05:40:13.001601Z
