case_id,source_file,file_size_bytes,sha256,file_modified_at_utc,validated_at_utc,validation_status,validation_errors,validation_warnings,initial_time,lead_time_hours,valid_start_time,valid_end_time,forecast_model,source_resolution,indicator_version,indicator_mapping_sha256,implementation_sha256,repository_revision
20200501_00,handoff/mazu_like/mazu_like_20200501_00_lead024.nc,370764,9d37a0f948c52de3b7257b569b105d6f7960240d109baebd28b1aa8b99e6435b,2026-07-16T04:56:56.675330Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-01T00:00:00Z,24,2020-05-01T00:00:00Z,2020-05-02T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200501_00,handoff/mazu_like/mazu_like_20200501_00_lead048.nc,370764,80c6fc83d2658e22ed2989f0878c5175ad3ef8949b65af4e7c76946062b37bf1,2026-07-16T04:56:56.700737Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-01T00:00:00Z,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200501_00,handoff/mazu_like/mazu_like_20200501_00_lead072.nc,370764,82c68459c554d6175db7112e8940e278a1a332c477ca9fec707bd92ab9f8f338,2026-07-16T04:56:56.728925Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200505_00,handoff/mazu_like/mazu_like_20200505_00_lead024.nc,370764,bfbc3ba79e55b7452d252c17b50a769bd4d0bbeb819d764f33f19e0cbd271fde,2026-07-16T05:59:29.338134Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-05T00:00:00Z,24,2020-05-05T00:00:00Z,2020-05-06T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200505_00,handoff/mazu_like/mazu_like_20200505_00_lead048.nc,370764,835c1267edd4a7897046c5a30ff8096798d3358588620377aa33bd9b61dd3f10,2026-07-16T05:59:29.364221Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-05T00:00:00Z,48,2020-05-06T00:00:00Z,2020-05-07T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200505_00,handoff/mazu_like/mazu_like_20200505_00_lead072.nc,370764,8d88a90fa58c00496ff7553e4ad44bbbfdd13ea63eaddc339e0fed69a372dadd,2026-07-16T05:59:29.390632Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-05T00:00:00Z,72,2020-05-07T00:00:00Z,2020-05-08T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200515_00,handoff/mazu_like/mazu_like_20200515_00_lead024.nc,370764,95252072ebc8a43961e250b2899fd1a49f4434313a14dc61b7eb5aedcc688355,2026-07-16T07:16:53.621207Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-15T00:00:00Z,24,2020-05-15T00:00:00Z,2020-05-16T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200515_00,handoff/mazu_like/mazu_like_20200515_00_lead048.nc,370764,0d589cd2ea170753f8f608911705216aa23138d8a0cd086cff614bb0bb63ace0,2026-07-16T07:16:53.647509Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-15T00:00:00Z,48,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200515_00,handoff/mazu_like/mazu_like_20200515_00_lead072.nc,370764,7496ea01f9125f2aabb40eea0d75ba915f7368daeaaabe9399f1658e095e1975,2026-07-16T07:16:53.674589Z,2026-07-16T16:51:33.473577Z,passed,,,2020-05-15T00:00:00Z,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200706_00,handoff/mazu_like/mazu_like_20200706_00_lead024.nc,370764,7c862cdd94538ad9af3fa8a6cacbd77d5dcfdf332e67ce59f5b090a384a0eeaf,2026-07-16T08:02:08.433228Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200706_00,handoff/mazu_like/mazu_like_20200706_00_lead048.nc,370764,4ea32a1ecbd6d30ce391209f51d3277cb0bc7c01e43672d41e6fc98b33424cd3,2026-07-16T08:02:08.460282Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-06T00:00:00Z,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200706_00,handoff/mazu_like/mazu_like_20200706_00_lead072.nc,370764,e51ccaed5167618667dfed20960d8af0854a8c6b2e1f16649dfb79099e826a87,2026-07-16T08:02:08.491303Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-06T00:00:00Z,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
20200715_00,handoff/mazu_like/mazu_like_20200715_00_lead024.nc,370764,57c10a14fc5a466ea67a2ae3e8e3677e1eec92b48fe7c92d3024c8460bba551c,2026-07-16T08:43:57.905255Z,2026-07-16T16:51:33.473577Z,passed,,,2020-07-15T00:00:00Z,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,GraphCast,0.25 degree,mazu_like_v1,6556b781eecab7f7978e98d04d2ddec7d4de46e8aec8ab5dcc2cd67f42619723,2d1ebeac40e115f492265170c0435fa0d5bdcbaa366fbbd95f983c8b55fa3eb9,f069b2264d1847087917deb5006ad937e48dbca9
