case_id,dataset_split,case_role,hazard,region_id,initial_time,target_start_date,target_end_date,selection_source,selection_aggregation,selection_rule,minimum_station_count,observed_values_degc,independent_overlap,forecast_access_status,selection_status
20200622_00,development,control,heatwave,SA-04,2020-06-22T00:00:00Z,2020-06-23,2020-06-25,NOAA_SSOD_V2,station_max,all three UTC days <= 45 degC,2,44.0;44.1;44.8,no,not_accessed_as_of_lock,preregistered_pending_forecast
20200627_00,development,event,heatwave,SA-04,2020-06-27T00:00:00Z,2020-06-28,2020-06-30,NOAA_SSOD_V2,station_max,all three UTC days >= 47 degC,2,47.0;48.0;47.0,no,not_accessed_as_of_lock,preregistered_pending_forecast
