case_id,initial_time,event_type,status,lead024_file,lead048_file,lead072_file,message,updated_at_utc
20180601_00,2018-06-01T00:00:00Z,heatwave_event,skipped,data/processed/mazu_like/mazu_like_20180601_00_lead024.nc,data/processed/mazu_like/mazu_like_20180601_00_lead048.nc,data/processed/mazu_like/mazu_like_20180601_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-19T00:14:10.764937Z
20180614_00,2018-06-14T00:00:00Z,heatwave_control,skipped,data/processed/mazu_like/mazu_like_20180614_00_lead024.nc,data/processed/mazu_like/mazu_like_20180614_00_lead048.nc,data/processed/mazu_like/mazu_like_20180614_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-19T00:14:10.787869Z
20180619_00,2018-06-19T00:00:00Z,heatwave_event,skipped,data/processed/mazu_like/mazu_like_20180619_00_lead024.nc,data/processed/mazu_like/mazu_like_20180619_00_lead048.nc,data/processed/mazu_like/mazu_like_20180619_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-19T00:14:10.810378Z
20180623_00,2018-06-23T00:00:00Z,heatwave_control,skipped,data/processed/mazu_like/mazu_like_20180623_00_lead024.nc,data/processed/mazu_like/mazu_like_20180623_00_lead048.nc,data/processed/mazu_like/mazu_like_20180623_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-19T00:14:10.833345Z
20180709_00,2018-07-09T00:00:00Z,heatwave_event,completed,data/processed/mazu_like/mazu_like_20180709_00_lead024.nc,data/processed/mazu_like/mazu_like_20180709_00_lead048.nc,data/processed/mazu_like/mazu_like_20180709_00_lead072.nc,"generated and validated lead024,lead048,lead072",2026-07-19T00:14:11.386934Z
20180719_00,2018-07-19T00:00:00Z,heatwave_control,skipped,data/processed/mazu_like/mazu_like_20180719_00_lead024.nc,data/processed/mazu_like/mazu_like_20180719_00_lead048.nc,data/processed/mazu_like/mazu_like_20180719_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-19T00:14:11.411593Z
