control_case_id,region_id,comparison_event_ids,control_spatial_p95_mm,minimum_event_spatial_p95_mm,p95_ratio_to_minimum_event,control_maximum_mm,minimum_event_maximum_mm,screening_status,screening_rule,product,version
20200515_00,SA-09,20200501_00;20200505_00,6.235,11.3,0.5518,8.1,27.1,imerg_screened_lower_intensity,control P95 and maximum are both below every same-region event within 31 days; nearest event is fallback,IMERG Final Run daily GIS accumulation,V07B
20200711_00,SA-09,20200725_00,2.97,66.04,0.045,5.2,105.7,imerg_screened_lower_intensity,control P95 and maximum are both below every same-region event within 31 days; nearest event is fallback,IMERG Final Run daily GIS accumulation,V07B
20200711_00,SA-14,20200725_00,0.0,40.69,0.0,1.9,85.5,imerg_screened_lower_intensity,control P95 and maximum are both below every same-region event within 31 days; nearest event is fallback,IMERG Final Run daily GIS accumulation,V07B
20201109_00,SA-03,20201119_00,0.545,9.445,0.0577,3.8,15.2,imerg_screened_lower_intensity,control P95 and maximum are both below every same-region event within 31 days; nearest event is fallback,IMERG Final Run daily GIS accumulation,V07B
20201112_00,SA-02,20201125_00,0.0,14.7,0.0,0.6,49.5,imerg_screened_lower_intensity,control P95 and maximum are both below every same-region event within 31 days; nearest event is fallback,IMERG Final Run daily GIS accumulation,V07B
