source_file,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,region_name_en,indicator,unit,region_cell_count,valid_cell_count,minimum,weighted_mean,spatial_p95,maximum
handoff/mazu_like/mazu_like_20200501_00_lead048.nc,2020-05-01T00:00:00Z,48,2020-05-02T00:00:00Z,2020-05-03T00:00:00Z,SA-09,Jazan Region,geopotential_height500,gpm,22,22,5892.5854,5894.8596,5897.028,5897.0464
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,daily_precip_total,mm,22,22,0.12508145,0.79276368,2.6438292,5.0277891
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,t2m_c,degC,22,22,23.633209,30.703538,32.599374,33.278351
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,tmax_c,degC,22,22,26.559479,34.547403,37.46962,37.706573
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,tmin_c,degC,22,22,20.495453,27.863518,29.838031,30.389008
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,wind10_speed,m s-1,22,22,1.1356544,2.0963958,2.9441536,3.0393119
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,pwat,kg m-2,22,22,34.974112,43.583611,50.356872,54.326835
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,ivt,kg m-1 s-1,22,22,38.387959,54.82658,73.616795,73.990576
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,wind850_speed,m s-1,22,22,1.1223431,1.8011377,2.2320125,2.384625
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,wind_shear_850_200,m s-1,22,22,13.239798,14.669836,16.17278,16.253777
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,omega500,Pa s-1,22,22,-0.063326672,0.017276567,0.041456046,0.042917512
handoff/mazu_like/mazu_like_20200501_00_lead072.nc,2020-05-01T00:00:00Z,72,2020-05-03T00:00:00Z,2020-05-04T00:00:00Z,SA-09,Jazan Region,geopotential_height500,gpm,22,22,5898.7397,5900.0142,5901.7576,5901.7817
