region_id,region_name_en,region_cell_count
SA-01,Riyadh Region,3309
SA-02,Makkah Region,1202
SA-03,Al Madinah Region,1317
SA-04,Eastern Region,4923
SA-05,Al-Qassim Region,611
SA-06,Hayel Region,1021
SA-07,Tabuk Region,1260
SA-08,Northern Borders Region,1065
SA-09,Jazan Region,134
SA-10,Najran Region,753
SA-11,Al Bahah Region,91
SA-12,Al Jawf Region,761
SA-14,'Asir Region,661
