method,source_group,case_id,case_role,region_id,lead_time_hours,evaluation_scope,source_spatial_p95_degc,raw_forecast_tmax_degc,source_maximum_degc,maximum_weight,base_aggregated_tmax_degc,correction_degc,candidate_tmax_degc,observed_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,observed_hot_day,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive
raw_spatial_p95,2020_prospective_sa08,20200702_00,event,SA-08,24,context_only,43.316388,43.316388,44.237,0.0,43.316388,0.0,43.316388,44.2,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2020_prospective_sa08,20200702_00,event,SA-08,48,target_window,44.190881,44.190881,44.5672,0.0,44.190881,0.0,44.190881,47.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2020_prospective_sa08,20200702_00,event,SA-08,72,target_window,45.036707,45.036707,45.202515,0.0,45.036707,0.0,45.036707,47.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200706_00,event,SA-04,24,context_only,47.378952,47.378952,48.129761,0.0,47.378952,0.0,47.378952,49.0,47.249969,49.078418,True,True,False,1,False
raw_spatial_p95,2020_retrospective_sa04,20200706_00,event,SA-04,48,target_window,47.848279,47.848279,48.488251,0.0,47.848279,0.0,47.848279,50.0,47.249969,49.078418,True,True,False,2,True
raw_spatial_p95,2020_retrospective_sa04,20200706_00,event,SA-04,72,context_only,47.985997,47.985997,48.391327,0.0,47.985997,0.0,47.985997,48.0,47.249969,49.078418,True,True,False,3,True
raw_spatial_p95,2020_retrospective_sa04,20200715_00,event,SA-04,24,context_only,47.150662,47.150662,47.497131,0.0,47.150662,0.0,47.150662,48.0,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200715_00,event,SA-04,48,target_window,46.327307,46.327307,46.84787,0.0,46.327307,0.0,46.327307,46.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200715_00,event,SA-04,72,target_window,45.934428,45.934428,47.112854,0.0,45.934428,0.0,45.934428,48.0,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200806_00,event,SA-04,24,context_only,45.273853,45.273853,46.228577,0.0,45.273853,0.0,45.273853,46.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200806_00,event,SA-04,48,target_window,45.082336,45.082336,45.62616,0.0,45.082336,0.0,45.082336,47.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200806_00,event,SA-04,72,target_window,45.384962,45.384962,46.726837,0.0,45.384962,0.0,45.384962,49.0,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200908_00,event,SA-04,24,context_only,44.458691,44.458691,46.451538,0.0,44.458691,0.0,44.458691,46.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200908_00,event,SA-04,48,target_window,44.70089,44.70089,45.819611,0.0,44.70089,0.0,44.70089,48.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200908_00,event,SA-04,72,target_window,44.312521,44.312521,45.126556,0.0,44.312521,0.0,44.312521,47.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200927_00,control,SA-04,24,context_only,42.87088,42.87088,44.483429,0.0,42.87088,0.0,42.87088,45.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200927_00,control,SA-04,48,target_window,40.859718,40.859718,41.427032,0.0,40.859718,0.0,40.859718,41.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200927_00,control,SA-04,72,target_window,40.499168,40.499168,40.668945,0.0,40.499168,0.0,40.499168,42.0,47.0,49.0,False,False,False,0,False
pooled_median_loco,2018_cross_year_prospective,20180601_00,event,SA-04,24,target_window,45.509152,45.509152,47.119934,0.0,45.509152,1.471420000000002,46.980572,47.0,47.249969,49.078418,False,False,False,0,False
