case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200711_00,2020-07-11T00:00:00Z,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,SA-09,daily_precip_total,maximum,0.83645815,5.2,mm,,IMERG,IMERG_FINAL_V07B_2020-07-12_SA-09_maximum,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.30715433,0.023,mm,,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-09_weighted_mean,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-09,daily_precip_total,spatial_p95,0.49869089,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-09_spatial_p95,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-09,daily_precip_total,maximum,0.59177041,1.1,mm,,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-09_maximum,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,SA-14,daily_precip_total,weighted_mean,0.24528112,0.003,mm,,IMERG,IMERG_FINAL_V07B_2020-07-11_SA-14_weighted_mean,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,SA-14,daily_precip_total,spatial_p95,0.57453807,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-11_SA-14_spatial_p95,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,SA-14,daily_precip_total,maximum,1.237922,0.6,mm,,IMERG,IMERG_FINAL_V07B_2020-07-11_SA-14_maximum,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,SA-14,daily_precip_total,weighted_mean,0.33137895,0.016,mm,,IMERG,IMERG_FINAL_V07B_2020-07-12_SA-14_weighted_mean,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,SA-14,daily_precip_total,spatial_p95,0.73004289,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-12_SA-14_spatial_p95,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,48,2020-07-12T00:00:00Z,2020-07-13T00:00:00Z,SA-14,daily_precip_total,maximum,1.1534766,1.4,mm,,IMERG,IMERG_FINAL_V07B_2020-07-12_SA-14_maximum,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-14,daily_precip_total,weighted_mean,0.36162509,0.011,mm,,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-14_weighted_mean,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,72,2020-07-13T00:00:00Z,2020-07-14T00:00:00Z,SA-14,daily_precip_total,spatial_p95,0.52771028,0.0,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-13_SA-14_spatial_p95,1.0,,accepted
