case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200515_00,2020-05-15T00:00:00Z,48,2020-05-16T00:00:00Z,2020-05-17T00:00:00Z,SA-09,daily_precip_total,maximum,2.3152525,4.1,mm,,IMERG,IMERG_FINAL_V07B_2020-05-16_SA-09_maximum,1.0,,accepted
20200515_00,2020-05-15T00:00:00Z,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.51845024,0.119,mm,,IMERG,IMERG_FINAL_V07B_2020-05-17_SA-09_weighted_mean,1.0,,accepted
20200515_00,2020-05-15T00:00:00Z,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,SA-09,daily_precip_total,spatial_p95,0.76575482,0.79,mm,,IMERG,IMERG_FINAL_V07B_2020-05-17_SA-09_spatial_p95,1.0,,accepted
20200515_00,2020-05-15T00:00:00Z,72,2020-05-17T00:00:00Z,2020-05-18T00:00:00Z,SA-09,daily_precip_total,maximum,0.91587085,3.0,mm,,IMERG,IMERG_FINAL_V07B_2020-05-17_SA-09_maximum,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,24,2020-11-09T00:00:00Z,2020-11-10T00:00:00Z,SA-03,daily_precip_total,weighted_mean,0.70231952,0.832,mm,,IMERG,IMERG_FINAL_V07B_2020-11-09_SA-03_weighted_mean,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,24,2020-11-09T00:00:00Z,2020-11-10T00:00:00Z,SA-03,daily_precip_total,spatial_p95,2.297279,3.2,mm,,IMERG,IMERG_FINAL_V07B_2020-11-09_SA-03_spatial_p95,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,24,2020-11-09T00:00:00Z,2020-11-10T00:00:00Z,SA-03,daily_precip_total,maximum,2.8331392,21.2,mm,,IMERG,IMERG_FINAL_V07B_2020-11-09_SA-03_maximum,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,48,2020-11-10T00:00:00Z,2020-11-11T00:00:00Z,SA-03,daily_precip_total,weighted_mean,0.48090973,0.09,mm,,IMERG,IMERG_FINAL_V07B_2020-11-10_SA-03_weighted_mean,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,48,2020-11-10T00:00:00Z,2020-11-11T00:00:00Z,SA-03,daily_precip_total,spatial_p95,0.97316161,0.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-10_SA-03_spatial_p95,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,48,2020-11-10T00:00:00Z,2020-11-11T00:00:00Z,SA-03,daily_precip_total,maximum,1.1589787,3.8,mm,,IMERG,IMERG_FINAL_V07B_2020-11-10_SA-03_maximum,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,72,2020-11-11T00:00:00Z,2020-11-12T00:00:00Z,SA-03,daily_precip_total,weighted_mean,0.34686319,0.001,mm,,IMERG,IMERG_FINAL_V07B_2020-11-11_SA-03_weighted_mean,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,72,2020-11-11T00:00:00Z,2020-11-12T00:00:00Z,SA-03,daily_precip_total,spatial_p95,0.5552113,0.0,mm,,IMERG,IMERG_FINAL_V07B_2020-11-11_SA-03_spatial_p95,1.0,,accepted
20201109_00,2020-11-09T00:00:00Z,72,2020-11-11T00:00:00Z,2020-11-12T00:00:00Z,SA-03,daily_precip_total,maximum,0.62498903,0.8,mm,,IMERG,IMERG_FINAL_V07B_2020-11-11_SA-03_maximum,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,24,2020-11-19T00:00:00Z,2020-11-20T00:00:00Z,SA-03,daily_precip_total,weighted_mean,0.10357102,0.001,mm,,IMERG,IMERG_FINAL_V07B_2020-11-19_SA-03_weighted_mean,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,24,2020-11-19T00:00:00Z,2020-11-20T00:00:00Z,SA-03,daily_precip_total,spatial_p95,0.20034789,0.0,mm,,IMERG,IMERG_FINAL_V07B_2020-11-19_SA-03_spatial_p95,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,24,2020-11-19T00:00:00Z,2020-11-20T00:00:00Z,SA-03,daily_precip_total,maximum,0.29046267,0.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-19_SA-03_maximum,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,48,2020-11-20T00:00:00Z,2020-11-21T00:00:00Z,SA-03,daily_precip_total,weighted_mean,2.1984986,2.877,mm,,IMERG,IMERG_FINAL_V07B_2020-11-20_SA-03_weighted_mean,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,48,2020-11-20T00:00:00Z,2020-11-21T00:00:00Z,SA-03,daily_precip_total,spatial_p95,7.9009696,9.3,mm,,IMERG,IMERG_FINAL_V07B_2020-11-20_SA-03_spatial_p95,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,48,2020-11-20T00:00:00Z,2020-11-21T00:00:00Z,SA-03,daily_precip_total,maximum,15.049393,15.2,mm,,IMERG,IMERG_FINAL_V07B_2020-11-20_SA-03_maximum,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,72,2020-11-21T00:00:00Z,2020-11-22T00:00:00Z,SA-03,daily_precip_total,weighted_mean,1.831764,0.454,mm,,IMERG,IMERG_FINAL_V07B_2020-11-21_SA-03_weighted_mean,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,72,2020-11-21T00:00:00Z,2020-11-22T00:00:00Z,SA-03,daily_precip_total,spatial_p95,6.8408438,2.5,mm,,IMERG,IMERG_FINAL_V07B_2020-11-21_SA-03_spatial_p95,1.0,,accepted
20201119_00,2020-11-19T00:00:00Z,72,2020-11-21T00:00:00Z,2020-11-22T00:00:00Z,SA-03,daily_precip_total,maximum,10.13149,8.4,mm,,IMERG,IMERG_FINAL_V07B_2020-11-21_SA-03_maximum,1.0,,accepted
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmax_c,station_mean,44.11656188964844,47.8,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmax_c_station_mean,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmax_c,station_max,46.54095458984375,49.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmax_c_station_max,0.8,4,accepted
20200706_00,2020-07-06T00:00:00Z,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,SA-04,tmax_c,station_min,38.292449951171875,46.0,degC,47.249969,NOAA_SSOD_V2,NOAA_SSOD_V2_2020-07-06_SA-04_tmax_c_station_min,0.8,4,accepted
