case_id,case_role,lead_time_hours,region_id,evaluation_scope,candidate_outcome,risk_level,raw_forecast_tmax_degc,corrected_forecast_tmax_degc,observed_tmax_degc,event_threshold_degc,raw_error_degc,corrected_error_degc,corrected_hot_day,observed_hot_day,primary_value,primary_threshold,regional_p95_margin_degc,regional_p95_hot_day,source_spatial_p95_degc,source_maximum_degc,forecast_duration_days,candidate_positive,diagnostic_attribution
20200619_00,control,24,SA-04,context_only,not_scored_context,low,42.5836181640625,45.04266357421875,44.1,47.249969,-1.5163818359375014,0.9426635742187486,False,False,46.32667241015625,47.249969,-0.9232965898437513,False,43.867627,44.670044,0,False,context_only
20200619_00,control,48,SA-04,target_window,candidate_correct_negative,low,42.04400634765625,44.5030517578125,43.1,47.249969,-1.0559936523437514,1.4030517578124986,False,False,46.54398841015625,47.249969,-0.7059805898437475,False,44.084943,44.893799,0,False,correct_control
20200619_00,control,72,SA-04,target_window,candidate_correct_negative,low,41.90130615234375,44.3603515625,43.0,47.249969,-1.09869384765625,1.3603515625,False,False,46.90941141015625,47.249969,-0.3405575898437476,False,44.450366,45.464539,0,False,correct_control
20200622_00,control,24,SA-04,context_only,not_scored_context,low,40.027740478515625,42.23486328125,41.0,47.249969,-0.972259521484375,1.23486328125,False,False,45.22104380273438,47.249969,-2.0289251972656217,False,43.013921,43.666168,0,False,context_only
20200622_00,control,48,SA-04,target_window,candidate_correct_negative,low,41.056732177734375,43.26385498046875,44.0,47.249969,-2.943267822265625,-0.73614501953125,False,False,44.26966980273438,47.249969,-2.980299197265623,False,42.062547,43.851593,0,False,correct_control
20200622_00,control,72,SA-04,target_window,candidate_correct_negative,low,41.63800048828125,43.845123291015625,44.1,47.249969,-2.4619995117187514,-0.2548767089843764,False,False,44.84348180273437,47.249969,-2.4064871972656334,False,42.636359,44.274292,0,False,correct_control
20200627_00,event,24,SA-04,context_only,not_scored_context,low,44.3284912109375,46.73248291015625,46.0,47.249969,-1.6715087890625,0.73248291015625,False,False,47.36018569921875,47.249969,0.11021669921875343,True,44.956194,45.773193,1,False,context_only
20200627_00,event,48,SA-04,target_window,candidate_hit,medium,44.792877197265625,47.196868896484375,47.0,47.249969,-2.207122802734375,0.196868896484375,False,False,47.41197669921875,47.249969,0.1620076992187478,True,45.007985,46.384705,2,True,event_window_hit
20200627_00,event,72,SA-04,target_window,candidate_hit,medium,44.97433471679688,47.37832641601563,48.0,47.249969,-3.025665283203118,-0.6216735839843679,True,True,47.86724569921875,47.249969,0.6172766992187491,True,45.463254,45.994537,3,True,event_window_hit
20200706_00,event,24,SA-04,context_only,not_scored_context,medium,46.54095458984375,48.748077392578125,49.0,47.249969,-2.45904541015625,-0.251922607421875,True,True,49.58607480273437,47.249969,2.336105802734373,True,47.378952,48.129761,1,True,context_only
20200706_00,event,48,SA-04,target_window,candidate_hit,medium,46.9930419921875,49.20016479492188,50.0,47.249969,-3.0069580078125,-0.7998352050781179,True,True,50.05540180273437,47.249969,2.805432802734373,True,47.848279,48.488251,2,True,event_window_hit
20200706_00,event,72,SA-04,context_only,not_scored_context,high,46.30001831054688,48.50714111328126,48.0,47.249969,-1.699981689453118,0.5071411132812571,True,True,50.19311980273437,47.249969,2.9431508027343725,True,47.985997,48.391327,3,True,context_only
20200715_00,event,24,SA-04,context_only,not_scored_context,medium,47.2911376953125,49.69512939453125,48.0,47.249969,-0.7088623046875,1.69512939453125,True,True,49.55465369921875,47.249969,2.304684699218747,True,47.150662,47.497131,1,True,context_only
20200715_00,event,48,SA-04,target_window,candidate_hit,medium,44.92669677734375,47.3306884765625,46.0,47.249969,-1.07330322265625,1.3306884765625,True,False,48.73129869921875,47.249969,1.4813296992187475,True,46.327307,46.84787,2,True,event_window_hit
20200715_00,event,72,SA-04,target_window,candidate_hit,medium,44.9852294921875,47.38922119140625,48.0,47.249969,-3.0147705078125,-0.61077880859375,True,True,48.33841969921875,47.249969,1.0884506992187468,True,45.934428,47.112854,3,True,event_window_hit
20200806_00,event,24,SA-04,context_only,not_scored_context,low,43.51437377929688,45.67004394531251,46.0,47.249969,-2.485626220703118,-0.3299560546874929,False,False,47.42952316601563,47.249969,0.17955416601562746,True,45.273853,46.228577,1,False,context_only
