method,dataset_split,event_target_windows,hits,misses,target_window_recall,control_target_windows,false_alarms,correct_negatives,target_window_specificity,event_cases,event_case_detections,event_case_detection_fraction,control_cases,control_case_correct_rejections,control_case_rejection_fraction,knowledge_trigger_count,distinct_corrected_event_cases,new_false_alarm_count,passes_all_gates,base_method,knowledge_mode,primary_ratio_threshold,support_count_threshold,minimum_eligible_windows,complexity_rank,balanced_accuracy,knowledge_upgrade_count,minimum_operational_skill
joint_rain_v1_base_kg_persistence_ratio0p3_support4_windows2,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.3,4.0,2.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p3_support4_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.3,4.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p45_support1_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.45,1.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p45_support2_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.45,2.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p45_support3_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.45,3.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p45_support4_windows2,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.45,4.0,2.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p45_support4_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.45,4.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p4_support1_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.4,1.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p4_support2_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.4,2.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p4_support3_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.4,3.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p4_support4_windows2,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.4,4.0,2.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p4_support4_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.4,4.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p5_support1_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.5,1.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p5_support2_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.5,2.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p5_support3_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.5,3.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p5_support4_windows2,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.5,4.0,2.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p5_support4_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.5,4.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p6_support1_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.6,1.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p6_support2_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.6,2.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p6_support3_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.6,3.0,3.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p6_support4_windows2,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.6,4.0,2.0,2,0.6,0,0.2
joint_rain_v1_base_kg_persistence_ratio0p6_support4_windows3,development,5,1,4,0.2,4,0,4,1.0,3,1,0.3333333333333333,2,2,1.0,0,0,0,False,v1_base,cross_window_persistence,0.6,4.0,3.0,2,0.6,0,0.2
joint_rain_v2_base_kg_single_ratio0p0_support2,development,5,5,0,1.0,4,3,1,0.25,3,3,1.0,2,0,0.0,5,1,3,False,v2_base,single_window,0.0,2.0,1.0,1,0.625,5,0.0
joint_rain_v1_base_kg_single_ratio0p0_support2,development,5,5,0,1.0,4,3,1,0.25,3,3,1.0,2,0,0.0,7,2,3,False,v1_base,single_window,0.0,2.0,1.0,1,0.625,7,0.0
joint_rain_v2_base_kg_single_ratio0p0_support1,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,6,1,4,False,v2_base,single_window,0.0,1.0,1.0,1,0.5,6,0.0
joint_rain_v2_base_kg_persistence_ratio0p0_support1_windows2,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,6,1,4,False,v2_base,cross_window_persistence,0.0,1.0,2.0,2,0.5,6,0.0
joint_rain_v2_base_kg_persistence_ratio0p0_support1_windows3,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,6,1,4,False,v2_base,cross_window_persistence,0.0,1.0,3.0,2,0.5,6,0.0
joint_rain_v1_base_kg_single_ratio0p0_support1,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,8,2,4,False,v1_base,single_window,0.0,1.0,1.0,1,0.5,8,0.0
joint_rain_v1_base_kg_persistence_ratio0p0_support1_windows2,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,8,2,4,False,v1_base,cross_window_persistence,0.0,1.0,2.0,2,0.5,8,0.0
joint_rain_v1_base_kg_persistence_ratio0p0_support1_windows3,development,5,5,0,1.0,4,4,0,0.0,3,3,1.0,2,0,0.0,8,2,4,False,v1_base,cross_window_persistence,0.0,1.0,3.0,2,0.5,8,0.0
